id,name_ru,name_eng,brand,description,year_in,year_out,year_return,status,is_leave,comment,createdAt,updatedAt,publishedAt,segment,rage,country,country_root,links_text,images_text,peoples_text
1,Atlassian,Atlassian,JIRA,разработчик программного обеспечения для управления разработкой программного обеспечения,2022-03-01,2022-03-02,2022-03-05,0,true,"приостанавливает продажи, блокирует госаккануты",2022-03-06T12:28:01.934Z,2022-03-07T14:41:04.706Z,2022-03-06T12:28:24.779Z,1,79,,,https://blog.developer.atlassian.com/atlassian-stands-with-ukraine/,картинка,
6,,,Panasonic,,2022-03-04,2022-03-04,2022-03-04,0,true,,2022-03-06T18:31:49.033Z,2022-03-07T15:21:44.421Z,2022-03-06T21:31:48.926Z,0,0,,,,,
7,,,Poster,"Облачная система автоматизации для кафе, баров, ресторанов и магазинов на планшете.",2022-02-28,2022-02-28,2022-02-28,3,true,просто все отрубили 28го вечером,2022-03-06T18:37:06.297Z,2022-03-06T18:37:06.297Z,2022-03-06T21:37:06.196Z,0,0,,,,,
8,,,Panasonic,,2022-03-04,2022-03-04,2022-03-04,0,true,,2022-03-06T19:14:05.741Z,2022-03-06T19:14:05.741Z,2022-03-06T22:14:05.658Z,0,0,,,,,
9,,,Poster,"Облачная система автоматизации для кафе, баров, ресторанов и магазинов на планшете.",2022-02-28,2022-02-28,2022-02-28,3,true,просто все отрубили 28го вечером,2022-03-06T19:14:05.772Z,2022-03-06T19:14:05.772Z,2022-03-06T22:14:05.757Z,0,0,,,,,
10,,,Apple,,2022-03-01,2022-03-01,2022-03-01,2,true," ограничила использование Apple Pay для клиентов банков из санкционного списка",2022-03-06T19:14:05.801Z,2022-03-06T19:14:05.801Z,2022-03-06T22:14:05.786Z,0,0,,,,,
11,,,Adobe,,2022-03-04,2022-03-04,2022-03-04,1,true,,2022-03-06T19:14:05.830Z,2022-03-06T19:14:05.830Z,2022-03-06T22:14:05.815Z,0,0,,,,,
12,,,Nokia,,2022-03-01,2022-03-01,2022-03-01,1,true,,2022-03-06T19:14:05.858Z,2022-03-06T19:14:05.858Z,2022-03-06T22:14:05.843Z,0,0,,,,,
13,,,Ericsson,,2022-02-28,2022-02-28,2022-02-28,1,true,,2022-03-06T19:14:05.889Z,2022-03-06T19:14:05.889Z,2022-03-06T22:14:05.872Z,0,0,,,,,
14,Hp,Hp,Hewlett Packard Enterprise,,2022-03-02,2022-03-02,2022-03-02,1,true,,2022-03-06T19:14:05.918Z,2022-03-06T19:14:05.918Z,2022-03-06T22:14:05.903Z,0,0,,,,,
15,,,Mikrotik,,2022-03-06,2022-03-06,2022-03-06,1,true,,2022-03-06T19:14:05.948Z,2022-03-06T19:14:05.948Z,2022-03-06T22:14:05.933Z,0,0,,,,,
16,,,Oracle,,2022-03-02,2022-03-02,2022-03-02,2,true,Компания также отменила лицензии на Creative Cloud и другие облачные продукты государственных СМИ.,2022-03-06T19:14:05.981Z,2022-03-06T19:14:05.981Z,2022-03-06T22:14:05.966Z,0,0,,,,,
17,,,Sap,,2022-03-06,2022-03-06,2022-03-06,1,true,,2022-03-06T19:14:06.014Z,2022-03-06T19:14:06.014Z,2022-03-06T22:14:05.996Z,0,0,,,,,
18,Microsoft Office,Microsoft Office,Microsoft,,2022-03-04,2022-03-04,2022-03-04,3,true,отключил поддержку русского,2022-03-06T19:14:06.045Z,2022-03-06T19:14:06.045Z,2022-03-06T22:14:06.029Z,0,0,,,,,
19,,,Microsoft,,2022-03-04,2022-03-04,2022-03-04,1,true,,2022-03-06T19:14:06.075Z,2022-03-06T19:14:06.075Z,2022-03-06T22:14:06.059Z,0,0,,,,,
20,Jira,Jira,Atlassian,разработчик программного обеспечения для управления разработкой программного обеспечения,2022-03-02,2022-03-02,2022-03-02,3,true,"приостанавливает продажи, блокирует госаккануты",2022-03-06T19:14:06.105Z,2022-03-06T19:14:06.105Z,2022-03-06T22:14:06.089Z,0,0,,,,,
21,,,Canon,,2022-03-02,2022-03-02,2022-03-02,1,true,,2022-03-06T19:14:06.138Z,2022-03-06T19:14:06.138Z,2022-03-06T22:14:06.121Z,0,0,,,,,
22,Cisco,Cisco,Cisco Systems Inc,,2022-03-06,2022-03-06,2022-03-06,3,true,,2022-03-06T19:14:06.171Z,2022-03-06T19:14:06.171Z,2022-03-06T22:14:06.153Z,0,0,,,,,
23,Autocad И 3Ds Max,Autocad И 3Ds Max,Autodesk,,2022-03-04,2022-03-04,2022-03-04,1,true,,2022-03-06T19:14:06.204Z,2022-03-06T19:14:06.204Z,2022-03-06T22:14:06.187Z,0,0,,,,,
24,Veeam,Veeam,Insight Partners,ПО для резервного копирования виртуальных машин и мониторинга виртуальных сред на базе платформ VMware и Hyper-V,2022-03-04,2022-03-04,2022-03-04,1,true,,2022-03-06T19:14:06.235Z,2022-03-06T19:14:06.235Z,2022-03-06T22:14:06.218Z,0,0,,,,,
25,,,Matlab,,2022-03-06,2022-03-06,2022-03-06,3,true,,2022-03-06T19:14:06.265Z,2022-03-06T19:14:06.265Z,2022-03-06T22:14:06.249Z,0,0,,,,,
26,,,Tsmc,крупнейший производитель микроэлектроники,2022-02-25,2022-02-25,2022-02-25,1,true,,2022-03-06T19:14:06.297Z,2022-03-06T19:14:06.297Z,2022-03-06T22:14:06.281Z,0,0,,,,,
27,,,Intel,,2022-03-03,2022-03-03,2022-03-03,1,true,,2022-03-06T19:14:06.329Z,2022-03-06T19:14:06.329Z,2022-03-06T22:14:06.313Z,0,0,,,,,
28,,,Amd,,2022-03-04,2022-03-04,2022-03-04,1,true,,2022-03-06T19:14:06.363Z,2022-03-06T19:14:06.363Z,2022-03-06T22:14:06.346Z,0,0,,,,,
29,,,Dell,,2022-02-26,2022-02-26,2022-02-26,1,true,,2022-03-06T19:14:06.396Z,2022-03-06T19:14:06.396Z,2022-03-06T22:14:06.378Z,0,0,,,,,
30,,,Shutterstock,,2022-02-24,2022-02-24,2022-02-24,3,true,,2022-03-06T19:14:06.426Z,2022-03-06T19:14:06.426Z,2022-03-06T22:14:06.411Z,0,0,,,,,
31,Биржа Фриланса,Биржа Фриланса,Freelancehunt,,2022-03-02,2022-03-02,2022-03-02,3,true,,2022-03-06T19:14:06.457Z,2022-03-06T19:14:06.457Z,2022-03-06T22:14:06.441Z,0,0,,,,,
32,"Seo-Платформа ","Seo-Платформа ",Serpstat,,2022-03-02,2022-03-02,2022-03-02,3,true,,2022-03-06T19:14:06.487Z,2022-03-06T19:14:06.487Z,2022-03-06T22:14:06.471Z,0,0,,,,,
33,Namecheap,Namecheap,Namecheap,Американский регистратор доменных име,2022-03-01,2022-03-01,2022-03-01,3,true,,2022-03-06T19:14:06.516Z,2022-03-06T19:14:06.516Z,2022-03-06T22:14:06.500Z,0,0,,,,,
34,Oneweb,Oneweb,Airbus Defence And Space,спутниковый интернет,2022-03-03,2022-03-03,2022-03-03,1,true,,2022-03-06T19:14:06.546Z,2022-03-06T19:14:06.546Z,2022-03-06T22:14:06.531Z,0,0,,,,,
35,Serpstat,Serpstat,Serpstat,,2022-03-06,2022-03-06,2022-03-06,3,true,украли деньги со счетов,2022-03-06T19:14:06.576Z,2022-03-06T19:14:06.576Z,2022-03-06T22:14:06.562Z,0,0,,,,,
36,,,Epam Systems Inc,,2022-03-04,2022-03-04,2022-03-04,1,true,,2022-03-06T19:14:06.607Z,2022-03-06T19:14:06.607Z,2022-03-06T22:14:06.591Z,0,0,,,,,
37,,,Crocoblock,,2022-03-03,2022-03-03,2022-03-03,3,true,"Удалили все лицензии, зарегистрированные на email в зоне *.RU. Например, оплаченные lifetime за ~600$",2022-03-06T19:14:06.636Z,2022-03-06T19:14:06.636Z,2022-03-06T22:14:06.621Z,0,0,,,,,
38,,,Gsmserver,,2022-02-24,2022-02-24,2022-02-24,1,true,,2022-03-06T19:14:06.666Z,2022-03-06T19:14:06.666Z,2022-03-06T22:14:06.651Z,0,0,,,,,
39,,,Letyshops,сервис кэшбека,2022-03-01,2022-03-01,2022-03-01,3,true,,2022-03-06T19:14:06.696Z,2022-03-06T19:14:06.696Z,2022-03-06T22:14:06.680Z,0,0,,,,,
40,,,Wix,платформа для создания сайта,2022-03-04,2022-03-04,2022-03-04,2,true,не проходят платежи,2022-03-06T19:14:06.726Z,2022-03-06T19:14:06.726Z,2022-03-06T22:14:06.710Z,0,0,,,,,
41,,,Ahrefs,seo платформа,2022-03-03,2022-03-03,2022-03-03,3,true,закрыли доступ пользователям рф и рб,2022-03-06T19:14:06.757Z,2022-03-06T19:14:06.757Z,2022-03-06T22:14:06.741Z,0,0,,,,,
42,,,Рreply,,2022-03-04,2022-03-04,2022-03-04,3,true,,2022-03-06T19:14:06.787Z,2022-03-06T19:14:06.787Z,2022-03-06T22:14:06.772Z,0,0,,,,,
43,,,Imageshack,,2022-03-01,2022-03-01,2022-03-01,3,true,подменяет свои картинки для России,2022-03-06T19:14:06.834Z,2022-03-06T19:14:06.834Z,2022-03-06T22:14:06.801Z,0,0,,,,,
44,,,Hostpro.Ua,,2022-02-28,2022-02-28,2022-02-28,3,true,"Запретили использование для пользователей из РФ и РБ, кидалово на деньги",2022-03-06T19:14:06.891Z,2022-03-06T19:14:06.891Z,2022-03-06T22:14:06.867Z,0,0,,,,,
45,,,Onebox,аналог 1с,2022-02-28,2022-02-28,2022-02-28,3,true,Украли персональные дланный и кинули на деньги,2022-03-06T19:14:06.921Z,2022-03-06T19:14:06.921Z,2022-03-06T22:14:06.905Z,0,0,,,,,
46,,,Reаddle,"PDF Expert, Spark, Scanner Pro, Calendars, Documents",2022-03-06,2022-03-06,2022-03-06,3,true,,2022-03-06T19:14:06.950Z,2022-03-06T19:14:06.950Z,2022-03-06T22:14:06.935Z,0,0,,,,,
47,,,Https://Mymeest.Com/,посредник для отправки посылок,2022-03-03,2022-03-03,2022-03-03,3,true,,2022-03-06T19:14:06.979Z,2022-03-06T19:14:06.979Z,2022-03-06T22:14:06.964Z,0,0,,,,,
48,,,Ibm,поставщик железа и ПО,2022-03-05,2022-03-05,2022-03-05,1,true,,2022-03-06T19:14:07.008Z,2022-03-06T19:14:07.008Z,2022-03-06T22:14:06.994Z,0,0,,,,,
49,,,Https://Www.Ideastatica.Com/Ru,,2022-03-06,2022-03-06,2022-03-06,1,true,Запретили использование для пользователей из РФ и РБ,2022-03-06T19:14:07.038Z,2022-03-06T19:14:07.038Z,2022-03-06T22:14:07.023Z,0,0,,,,,
50,,,Idea Statica,по для проектирования,2022-03-06,2022-03-06,2022-03-06,1,true,,2022-03-06T19:14:07.068Z,2022-03-06T19:14:07.068Z,2022-03-06T22:14:07.053Z,0,0,,,,,
51,,,Ajax Systems,охранные системы,2022-03-06,2022-03-06,2022-03-06,1,true,,2022-03-06T19:14:07.098Z,2022-03-06T19:14:07.098Z,2022-03-06T22:14:07.083Z,0,0,,,,,
52,,,Dmarket,NFT платформа,2022-02-26,2022-02-26,2022-02-26,1,true,,2022-03-06T19:14:07.128Z,2022-03-06T19:14:07.128Z,2022-03-06T22:14:07.113Z,0,0,,,,,
53,,,Jablotron,охранные системы,2022-03-02,2022-03-02,2022-03-02,1,true,,2022-03-06T19:14:07.158Z,2022-03-06T19:14:07.158Z,2022-03-06T22:14:07.143Z,0,0,,,,,
54,,,Grammarly,нлайн-сервис на основе искусственного интеллекта для помощи в написании текстов на английском языке,2022-03-06,2022-03-06,2022-03-06,3,true,,2022-03-06T19:14:07.189Z,2022-03-06T19:14:07.189Z,2022-03-06T22:14:07.174Z,0,0,,,,,
55,,,Restream,стриминговая платформа,2022-03-06,2022-03-06,2022-03-06,3,true,кинул на деньги,2022-03-06T19:14:07.220Z,2022-03-06T19:14:07.220Z,2022-03-06T22:14:07.205Z,0,0,,,,,
56,,,Fondy,платежная система,2022-03-04,2022-03-04,2022-03-04,3,true,приостановила лицензию,2022-03-06T19:14:07.250Z,2022-03-06T19:14:07.250Z,2022-03-06T22:14:07.235Z,0,0,,,,,
57,,,Qt,,2022-03-01,2022-03-01,2022-03-01,3,true,,2022-03-06T19:14:07.283Z,2022-03-06T19:14:07.283Z,2022-03-06T22:14:07.265Z,0,0,,,,,
58,,,Google,,2022-03-04,2022-03-04,2022-03-04,2,true,,2022-03-06T19:14:07.313Z,2022-03-06T19:14:07.313Z,2022-03-06T22:14:07.298Z,0,0,,,,,
59,Ahrefs.Ru,Ahrefs.Ru,Ahrefs,seo-сервис,2022-03-06,2022-03-06,2022-03-06,3,true,,2022-03-06T19:14:07.343Z,2022-03-06T19:14:07.343Z,2022-03-06T22:14:07.327Z,0,0,,,,,
60,Https://Autoenterprise.Com.Ru/,Https://Autoenterprise.Com.Ru/,Autoenterprise,зарядки и услуги  по электромобилям,2022-03-06,2022-03-06,2022-03-06,3,true,"Имея доступ к системе, обоснованно подозревается в блокировании и взломе зарядных станций для электромобилей на трассе М11 Москва-Петербург. На экранах станций высвечивался традиционный нацистской лозунг СУГС. ",2022-03-06T19:14:07.372Z,2022-03-06T19:14:07.372Z,2022-03-06T22:14:07.357Z,0,0,,,,,
61,,,Netpeak,сео,2022-03-06,2022-03-06,2022-03-06,1,true,,2022-03-06T19:14:07.402Z,2022-03-06T19:14:07.402Z,2022-03-06T22:14:07.387Z,0,0,,,,,
62,Https://Www.Mailerlite.Com/,Https://Www.Mailerlite.Com/,Mailerlite,почтовый сервис,2022-03-06,2022-03-06,2022-03-06,1,true,,2022-03-06T19:14:07.433Z,2022-03-06T19:14:07.433Z,2022-03-06T22:14:07.417Z,0,0,,,,,
63,Https://Cityhost.Ua/,Https://Cityhost.Ua/,Cityhost,хостинг,2022-03-06,2022-03-06,2022-03-06,3,true,кинул пользователей,2022-03-06T19:14:07.465Z,2022-03-06T19:14:07.465Z,2022-03-06T22:14:07.449Z,0,0,,,,,
64,Https://Www.Hostinger.Ru/Ru,Https://Www.Hostinger.Ru/Ru,Hostinger,хостинг,2022-03-06,2022-03-06,2022-03-06,3,true,кинул пользователей,2022-03-06T19:14:07.496Z,2022-03-06T19:14:07.496Z,2022-03-06T22:14:07.480Z,0,0,,,,,
65,Https://Www.Ding.Com/,Https://Www.Ding.Com/,Ding,сервис пополнения мобильного счета,2022-03-06,2022-03-06,2022-03-06,1,true,заблокирован в рф,2022-03-06T19:14:07.527Z,2022-03-06T19:14:07.527Z,2022-03-06T22:14:07.510Z,0,0,,,,,
66,Екаталог И Magazilla,Екаталог И Magazilla,Nadavi.Net,,2022-03-06,2022-03-06,2022-03-06,3,true,тут и так все всё знают,2022-03-06T19:14:07.558Z,2022-03-06T19:14:07.558Z,2022-03-06T22:14:07.543Z,0,0,,,,,
67,Https://Www.Sas.Com/Ru_Ru/Home.Html,Https://Www.Sas.Com/Ru_Ru/Home.Html,Sas Institute,по для аналитики,2022-03-05,2022-03-05,2022-03-05,1,true,,2022-03-06T19:14:07.587Z,2022-03-06T19:14:07.587Z,2022-03-06T22:14:07.572Z,0,0,,,,,
68,Https://Macpaw.Com/,Https://Macpaw.Com/,Macpaw,по для мака,2022-03-06,2022-03-06,2022-03-06,1,true,,2022-03-06T19:14:07.616Z,2022-03-06T19:14:07.616Z,2022-03-06T22:14:07.602Z,0,0,,,,,
69,Bp,Bp,Bp,нефтегазовая компания,2022-02-27,2022-02-27,2022-02-27,1,true,,2022-03-06T19:14:07.647Z,2022-03-06T19:14:07.647Z,2022-03-06T22:14:07.632Z,0,0,,,,,
70,Shell,Shell,Royal Dutch Shell,британско-нидерландская нефтегазовая компания,2022-02-28,2022-02-28,2022-02-28,1,true,,2022-03-06T19:14:07.677Z,2022-03-06T19:14:07.677Z,2022-03-06T22:14:07.661Z,0,0,,,,,
71,Exxonmobil,Exxonmobil,Exxonmobil,нефтедобывающая компания из США,2022-03-01,2022-03-01,2022-03-01,1,true,,2022-03-06T19:14:07.708Z,2022-03-06T19:14:07.708Z,2022-03-06T22:14:07.692Z,0,0,,,,,
72,Equinor,Equinor,Equinor,норвержская нефтедобывающая компания,2022-02-28,2022-02-28,2022-02-28,1,true,,2022-03-06T19:14:07.737Z,2022-03-06T19:14:07.737Z,2022-03-06T22:14:07.722Z,0,0,,,,,
73,Kinross Gold,Kinross Gold,Kinross Gold,канадская золотодобывающая компания,2022-03-03,2022-03-03,2022-03-03,1,true,,2022-03-06T19:14:07.767Z,2022-03-06T19:14:07.767Z,2022-03-06T22:14:07.751Z,0,0,,,,,
74,Omv,Omv,Omv," австрийская нефтяная компания",2022-03-01,2022-03-01,2022-03-01,1,true,,2022-03-06T19:14:07.796Z,2022-03-06T19:14:07.796Z,2022-03-06T22:14:07.782Z,0,0,,,,,
75,Hitachi,Hitachi,"Hitachi Construction Machinery Co., Ltd",финансово-промышленная группа японских компаний,2022-03-04,2022-03-04,2022-03-04,1,true,,2022-03-06T19:14:07.825Z,2022-03-06T19:14:07.825Z,2022-03-06T22:14:07.810Z,0,0,,,,,
76,Komatsu,Komatsu,Komatsu Limited,"японская транснациональная корпорация, которая производит строительное, горнодобывающее, лесное и военное оборудование",2022-03-04,2022-03-04,2022-03-04,1,true,,2022-03-06T19:14:07.857Z,2022-03-06T19:14:07.857Z,2022-03-06T22:14:07.839Z,0,0,,,,,
77,Rolls-Royce,Rolls-Royce,Bmw Ag,автопроизводитель,2022-03-04,2022-03-04,2022-03-04,1,true,,2022-03-06T19:14:07.886Z,2022-03-06T19:14:07.886Z,2022-03-06T22:14:07.871Z,0,0,,,,,
78,Honda,Honda,"Honda Motor Co., Ltd",автопроизводитель,2022-03-02,2022-03-02,2022-03-02,1,true,уходит еще с 2020,2022-03-06T19:14:07.915Z,2022-03-06T19:14:07.915Z,2022-03-06T22:14:07.900Z,0,0,,,,,
79,Mazda,Mazda,Mazda Motor Corporation,автопроизводитель,2022-03-02,2022-03-02,2022-03-02,1,true,,2022-03-06T19:14:07.945Z,2022-03-06T19:14:07.945Z,2022-03-06T22:14:07.930Z,0,0,,,,,
80,"Man,Audi, Skoda, Porsche","Man,Audi, Skoda, Porsche",Volkswagen,производитель автотранспорта,2022-03-02,2022-03-02,2022-03-02,1,true,,2022-03-06T19:14:07.974Z,2022-03-06T19:14:07.974Z,2022-03-06T22:14:07.960Z,0,0,,,,,
81,Audi,Audi,Audi,производитель автотранспорта,2022-02-24,2022-02-24,2022-02-24,1,true,,2022-03-06T19:14:08.003Z,2022-03-06T19:14:08.003Z,2022-03-06T22:14:07.988Z,0,0,,,,,
82,Bmw,Bmw,Bmw Group,производитель автотранспорта,2022-03-02,2022-03-02,2022-03-02,1,true,,2022-03-06T19:14:08.033Z,2022-03-06T19:14:08.033Z,2022-03-06T22:14:08.018Z,0,0,,,,,
83,Ford,Ford,Ford Motors,производитель автотранспорта,2022-03-02,2022-03-02,2022-03-02,1,true,,2022-03-06T19:14:08.062Z,2022-03-06T19:14:08.062Z,2022-03-06T22:14:08.047Z,0,0,,,,,
84,Chevrolet,Chevrolet,General Motors,производитель автотранспорта,2022-03-01,2022-03-01,2022-03-01,1,true,,2022-03-06T19:14:08.091Z,2022-03-06T19:14:08.091Z,2022-03-06T22:14:08.076Z,0,0,,,,,
85,Airbus,Airbus,Airbus,авиаконцерн,2022-03-02,2022-03-02,2022-03-02,1,true,,2022-03-06T19:14:08.122Z,2022-03-06T19:14:08.122Z,2022-03-06T22:14:08.106Z,0,0,,,,,
86,Boeing,Boeing,Boeing,авиаконцерн,2022-03-02,2022-03-02,2022-03-02,1,true,,2022-03-06T19:14:08.151Z,2022-03-06T19:14:08.151Z,2022-03-06T22:14:08.136Z,0,0,,,,,
87,"Jaguar ,Land Rover","Jaguar ,Land Rover",Jaguar Land Rover,производитель автотранспорта,2022-03-01,2022-03-01,2022-03-01,1,true,,2022-03-06T19:14:08.182Z,2022-03-06T19:14:08.182Z,2022-03-06T22:14:08.167Z,0,0,,,,,
88,Harley-Davidson,Harley-Davidson,Harley-Davidson,производитель автотранспорта,2022-03-01,2022-03-01,2022-03-01,1,true,,2022-03-06T19:14:08.215Z,2022-03-06T19:14:08.215Z,2022-03-06T22:14:08.198Z,0,0,,,,,
89,Mercedes,Mercedes,Mercedes,производитель автотранспорта,2022-03-03,2022-03-03,2022-03-03,1,true,,2022-03-06T19:14:08.246Z,2022-03-06T19:14:08.246Z,2022-03-06T22:14:08.230Z,0,0,,,,,
90,Suzuki,Suzuki,Suzuki Motor Corporation,производитель автотранспорта,2022-03-03,2022-03-03,2022-03-03,1,true,,2022-03-06T19:14:08.274Z,2022-03-06T19:14:08.274Z,2022-03-06T22:14:08.260Z,0,0,,,,,
91,Embraer,Embraer,Embraer,авиаконцерн,2022-03-03,2022-03-03,2022-03-03,1,true,,2022-03-06T19:14:08.304Z,2022-03-06T19:14:08.304Z,2022-03-06T22:14:08.289Z,0,0,,,,,
92,"Paypal ","Paypal ",Paypal,"PayPal — крупнейшая дебетовая электронная платежная система, позволяет пользователю оплачивать покупки и отправлять деньги, не раскрывая данных банковской карты или другой личной информации. Основана в 1998 году в США, ежегодно обрабатывает более 4 млрд операций и насчитывает более 200 млн пользователей по всему миру.

Подробнее на РБК:
https://www.rbc.ru/finances/05/03/2022/622313a29a794775d1a6bdb0",2022-03-03,2022-03-03,2022-03-03,1,true,"3 марта запрет регистрации
5 марта нет доступа на сервис",2022-03-06T19:14:08.333Z,2022-03-06T19:14:08.333Z,2022-03-06T22:14:08.319Z,0,0,,,,,
93,Mastercard,Mastercard,Mastercard Inc,платёжная система,2022-03-06,2022-03-06,2022-03-06,3,true,сегментирована,2022-03-06T19:14:08.365Z,2022-03-06T19:14:08.365Z,2022-03-06T22:14:08.350Z,0,0,,,,,
94,Paysera,Paysera,Paysera,платежная система Литвы,2022-02-23,2022-02-23,2022-02-23,1,true,предупредили и дали 60 дней на вывод,2022-03-06T19:14:08.395Z,2022-03-06T19:14:08.395Z,2022-03-06T22:14:08.380Z,0,0,,,,,
95,Visa,Visa,Visa,платёжная система,2022-03-01,2022-03-01,2022-03-01,3,true,сегментирована,2022-03-06T19:14:08.424Z,2022-03-06T19:14:08.424Z,2022-03-06T22:14:08.409Z,0,0,,,,,
96,,,Bank Of Georgia (Грузия),банк,2022-03-05,2022-03-05,2022-03-05,3,true,,2022-03-06T19:14:08.454Z,2022-03-06T19:14:08.454Z,2022-03-06T22:14:08.438Z,0,0,,,,,
97,,,American Express,финансовая компания,2022-03-02,2022-03-02,2022-03-02,1,true,,2022-03-06T19:14:08.484Z,2022-03-06T19:14:08.484Z,2022-03-06T22:14:08.469Z,0,0,,,,,
98,Btc-Alpha,Btc-Alpha,Btc-Alpha,криптобиржаa,2022-02-24,2022-02-24,2022-02-24,2,true,,2022-03-06T19:14:08.513Z,2022-03-06T19:14:08.513Z,2022-03-06T22:14:08.498Z,0,0,,,,,
99,Kuna,Kuna,Kuna,криптобиржаa,2022-02-26,2022-02-26,2022-02-26,3,true,,2022-03-06T19:14:08.543Z,2022-03-06T19:14:08.543Z,2022-03-06T22:14:08.527Z,0,0,,,,,
100,Cex Io,Cex Io,Cex Io,криптобиржаa,2022-02-27,2022-02-27,2022-02-27,1,true,,2022-03-06T19:14:08.618Z,2022-03-06T19:14:08.618Z,2022-03-06T22:14:08.586Z,0,0,,,,,
101,Qmall,Qmall,Qmall,криптобиржаa,2022-02-27,2022-02-27,2022-02-27,3,true,,2022-03-06T19:14:08.650Z,2022-03-06T19:14:08.650Z,2022-03-06T22:14:08.633Z,0,0,,,,,
